33 St (Departure),23 St (Departure),14 St (Departure),9 St (Departure),Chris St (Departure),Hoboken (Departure),Newport (Departure),Grove St (Departure),JSQ (Arrival)
12:18 AM,---,12:21 AM,---,12:24 AM,12:37 AM,12:41 AM,12:44 AM,12:49 AM
12:48 AM,---,12:51 AM,---,12:54 AM,1:07 AM,1:11 AM,1:14 AM,1:19 AM
1:28 AM,---,1:31 AM,---,1:34 AM,1:47 AM,1:51 AM,1:54 AM,1:59 AM
2:08 AM,---,2:11 AM,---,2:14 AM,2:27 AM,2:31 AM,2:34 AM,2:39 AM
2:48 AM,---,2:51 AM,---,2:54 AM,3:07 AM,3:11 AM,3:14 AM,3:19 AM
3:28 AM,---,3:31 AM,---,3:34 AM,3:47 AM,3:51 AM,3:54 AM,3:59 AM
4:08 AM,---,4:11 AM,---,4:14 AM,4:27 AM,4:31 AM,4:34 AM,4:39 AM
4:48 AM,---,4:51 AM,---,4:54 AM,5:07 AM,5:11 AM,5:14 AM,5:19 AM
5:28 AM,5:30 AM,5:31 AM,5:33 AM,5:34 AM,5:47 AM,5:51 AM,5:55 AM,6:00 AM
5:48 AM,5:50 AM,5:51 AM,5:53 AM,5:54 AM,6:07 AM,6:11 AM,6:15 AM,6:20 AM
6:08 AM,6:10 AM,6:11 AM,6:13 AM,6:14 AM,6:27 AM,6:31 AM,6:35 AM,6:40 AM
11:04 PM,11:06 PM,11:07 PM,11:09 PM,11:10 PM,11:23 PM,11:27 PM,11:31 PM,11:36 PM
11:21 PM,11:23 PM,11:24 PM,11:26 PM,11:27 PM,11:40 PM,11:44 PM,11:48 PM,11:53 PM
11:38 PM,11:40 PM,11:41 PM,11:43 PM,11:44 PM,11:57 PM,12:01 AM,12:05 AM,12:10 AM
11:58 PM,12:00 AM,12:01 AM,12:03 AM,12:04 AM,12:17 AM,12:21 AM,12:25 AM,12:30 AM
