Newark (Departure),Harrison (Departure),JSQ (Departure),Grove St (Departure),Exchange (Departure),WTC (Arrival)
12:30 AM,12:32 AM,12:43 AM,12:47 AM,12:50 AM,12:55 AM
1:10 AM,1:12 AM,1:23 AM,1:27 AM,1:30 AM,1:35 AM
1:50 AM,1:52 AM,2:03 AM,2:07 AM,2:10 AM,2:15 AM
2:30 AM,2:32 AM,2:43 AM,2:47 AM,2:50 AM,2:55 AM
3:10 AM,3:12 AM,3:23 AM,3:27 AM,3:30 AM,3:35 AM
3:50 AM,3:52 AM,4:03 AM,4:07 AM,4:10 AM,4:15 AM
4:30 AM,4:32 AM,4:43 AM,4:47 AM,4:50 AM,4:55 AM
5:00 AM,5:02 AM,5:13 AM,5:17 AM,5:20 AM,5:25 AM
5:15 AM,5:17 AM,5:28 AM,5:32 AM,5:35 AM,5:40 AM
5:30 AM,5:32 AM,5:43 AM,5:47 AM,5:50 AM,5:55 AM
5:45 AM,5:47 AM,5:58 AM,6:02 AM,6:05 AM,6:10 AM
5:56 AM,5:58 AM,6:09 AM,6:13 AM,6:16 AM,6:21 AM
6:01 AM,6:03 AM,6:14 AM,6:18 AM,6:21 AM,6:26 AM
6:06 AM,6:08 AM,6:19 AM,6:23 AM,6:26 AM,6:31 AM
6:11 AM,6:13 AM,6:24 AM,6:28 AM,6:31 AM,6:36 AM
6:16 AM,6:18 AM,6:29 AM,6:33 AM,6:36 AM,6:41 AM
6:21 AM,6:23 AM,6:34 AM,6:38 AM,6:41 AM,6:46 AM
6:26 AM,6:28 AM,6:39 AM,6:43 AM,6:46 AM,6:51 AM
6:31 AM,6:33 AM,6:44 AM,6:48 AM,6:51 AM,6:56 AM
6:36 AM,6:38 AM,6:49 AM,6:53 AM,6:56 AM,7:01 AM
6:41 AM,6:43 AM,6:54 AM,6:58 AM,7:01 AM,7:06 AM
6:46 AM,6:48 AM,6:59 AM,7:03 AM,7:06 AM,7:11 AM
6:51 AM,6:53 AM,7:04 AM,7:08 AM,7:11 AM,7:16 AM
