WTC (Departure),Exchange (Departure),Newport (Departure),Hoboken (Arrival)
5:58 AM,6:02 AM,6:05 AM,6:09 AM
6:08 AM,6:12 AM,6:15 AM,6:19 AM
6:18 AM,6:22 AM,6:25 AM,6:29 AM
6:28 AM,6:32 AM,6:35 AM,6:39 AM
6:38 AM,6:42 AM,6:45 AM,6:49 AM
6:48 AM,6:52 AM,6:55 AM,6:59 AM
6:58 AM,7:02 AM,7:05 AM,7:09 AM
7:08 AM,7:12 AM,7:15 AM,7:19 AM
7:18 AM,7:22 AM,7:25 AM,7:29 AM
7:28 AM,7:32 AM,7:35 AM,7:39 AM
7:38 AM,7:42 AM,7:45 AM,7:49 AM
7:47 AM,7:51 AM,7:54 AM,7:58 AM
7:55 AM,7:59 AM,8:02 AM,8:06 AM
8:03 AM,8:07 AM,8:10 AM,8:14 AM
8:11 AM,8:15 AM,8:18 AM,8:22 AM
8:19 AM,8:23 AM,8:26 AM,8:30 AM
8:27 AM,8:31 AM,8:34 AM,8:38 AM
8:35 AM,8:39 AM,8:42 AM,8:46 AM
8:43 AM,8:47 AM,8:50 AM,8:54 AM
8:51 AM,8:55 AM,8:58 AM,9:02 AM
8:59 AM,9:03 AM,9:06 AM,9:10 AM
9:07 AM,9:11 AM,9:14 AM,9:18 AM
9:15 AM,9:19 AM,9:22 AM,9:26 AM
9:23 AM,9:27 AM,9:30 AM,9:34 AM
9:32 AM,9:36 AM,9:39 AM,9:43 AM
9:42 AM,9:46 AM,9:49 AM,9:53 AM
9:57 AM,10:01 AM,10:04 AM,10:08 AM
10:12 AM,10:16 AM,10:19 AM,10:23 AM
10:27 AM,10:31 AM,10:34 AM,10:38 AM
10:42 AM,10:46 AM,10:49 AM,10:53 AM
10:57 AM,11:01 AM,11:04 AM,11:08 AM
11:12 AM,11:16 AM,11:19 AM,11:23 AM
11:27 AM,11:31 AM,11:34 AM,11:38 AM
11:42 AM,11:46 AM,11:49 AM,11:53 AM
11:57 AM,12:01 PM,12:04 PM,12:08 PM
12:12 PM,12:16 PM,12:19 PM,12:23 PM
12:27 PM,12:31 PM,12:34 PM,12:38 PM
12:42 PM,12:46 PM,12:49 PM,12:53 PM
12:57 PM,1:01 PM,1:04 PM,1:08 PM
1:12 PM,1:16 PM,1:19 PM,1:23 PM
1:27 PM,1:31 PM,1:34 PM,1:38 PM
1:42 PM,1:46 PM,1:49 PM,1:53 PM
1:57 PM,2:01 PM,2:04 PM,2:08 PM
2:12 PM,2:16 PM,2:19 PM,2:23 PM
2:27 PM,2:31 PM,2:34 PM,2:38 PM
2:42 PM,2:46 PM,2:49 PM,2:53 PM
2:57 PM,3:01 PM,3:04 PM,3:08 PM
3:12 PM,3:16 PM,3:19 PM,3:23 PM
3:24 PM,3:28 PM,3:31 PM,3:35 PM
3:36 PM,3:40 PM,3:43 PM,3:47 PM
3:48 PM,3:52 PM,3:55 PM,3:59 PM
4:00 PM,4:04 PM,4:07 PM,4:11 PM
4:10 PM,4:14 PM,4:17 PM,4:21 PM
4:20 PM,4:24 PM,4:27 PM,4:31 PM
4:28 PM,4:32 PM,4:35 PM,4:39 PM
4:36 PM,4:40 PM,4:43 PM,4:47 PM
4:44 PM,4:48 PM,4:51 PM,4:55 PM
4:52 PM,4:56 PM,4:59 PM,5:03 PM
5:00 PM,5:04 PM,5:07 PM,5:11 PM
5:08 PM,5:12 PM,5:15 PM,5:19 PM
5:16 PM,5:20 PM,5:23 PM,5:27 PM
5:24 PM,5:28 PM,5:31 PM,5:35 PM
5:32 PM,5:36 PM,5:39 PM,5:43 PM
5:40 PM,5:44 PM,5:47 PM,5:51 PM
5:48 PM,5:52 PM,5:55 PM,5:59 PM
5:56 PM,6:00 PM,6:03 PM,6:07 PM
6:04 PM,6:08 PM,6:11 PM,6:15 PM
6:12 PM,6:16 PM,6:19 PM,6:23 PM
6:20 PM,6:24 PM,6:27 PM,6:31 PM
6:28 PM,6:32 PM,6:35 PM,6:39 PM
6:37 PM,6:41 PM,6:44 PM,6:48 PM
6:47 PM,6:51 PM,6:54 PM,6:58 PM
6:57 PM,7:01 PM,7:04 PM,7:08 PM
7:07 PM,7:11 PM,7:14 PM,7:18 PM
7:19 PM,7:23 PM,7:26 PM,7:30 PM
7:31 PM,7:35 PM,7:38 PM,7:42 PM
7:43 PM,7:47 PM,7:50 PM,7:54 PM
7:55 PM,7:59 PM,8:02 PM,8:06 PM
8:07 PM,8:11 PM,8:14 PM,8:18 PM
8:19 PM,8:23 PM,8:26 PM,8:30 PM
8:31 PM,8:35 PM,8:38 PM,8:42 PM
8:43 PM,8:47 PM,8:50 PM,8:54 PM
8:55 PM,8:59 PM,9:02 PM,9:06 PM
9:07 PM,9:11 PM,9:14 PM,9:18 PM
9:19 PM,9:23 PM,9:26 PM,9:30 PM
9:31 PM,9:35 PM,9:38 PM,9:42 PM
9:46 PM,9:50 PM,9:53 PM,9:57 PM
10:01 PM,10:05 PM,10:08 PM,10:12 PM
10:16 PM,10:20 PM,10:23 PM,10:27 PM
10:36 PM,10:40 PM,10:43 PM,10:47 PM
10:56 PM,11:00 PM,11:03 PM,11:07 PM
