33 St (Departure),23 St (Departure),14 St (Departure),9 St (Departure),Chris St (Departure),Hoboken (Departure),Newport (Departure),Grove St (Departure),JSQ (Arrival)
12:18 AM,12:20 AM,12:21 AM,12:23 AM,12:24 AM,12:37 AM,12:41 AM,12:45 AM,12:50 AM
12:48 AM,12:50 AM,12:51 AM,12:53 AM,12:54 AM,1:07 AM,1:11 AM,1:15 AM,1:20 AM
1:28 AM,1:30 AM,1:31 AM,1:33 AM,1:34 AM,1:47 AM,1:51 AM,1:55 AM,2:00 AM
2:08 AM,2:10 AM,2:11 AM,2:13 AM,2:14 AM,2:27 AM,2:31 AM,2:35 AM,2:40 AM
2:48 AM,2:50 AM,2:51 AM,2:53 AM,2:54 AM,3:07 AM,3:11 AM,3:15 AM,3:20 AM
3:28 AM,3:30 AM,3:31 AM,3:33 AM,3:34 AM,3:47 AM,3:51 AM,3:55 AM,4:00 AM
4:08 AM,4:10 AM,4:11 AM,4:13 AM,4:14 AM,4:27 AM,4:31 AM,4:35 AM,4:40 AM
4:48 AM,4:50 AM,4:51 AM,4:53 AM,4:54 AM,5:07 AM,5:11 AM,5:15 AM,5:20 AM
5:28 AM,5:30 AM,5:31 AM,5:33 AM,5:34 AM,5:47 AM,5:51 AM,5:55 AM,6:00 AM
5:53 AM,5:55 AM,5:56 AM,5:58 AM,5:59 AM,6:12 AM,6:16 AM,6:20 AM,6:25 AM
11:03 PM,11:05 PM,11:06 PM,11:08 PM,11:09 PM,11:22 PM,11:26 PM,11:30 PM,11:35 PM
11:18 PM,11:20 PM,11:21 PM,11:23 PM,11:24 PM,11:37 PM,11:41 PM,11:45 PM,11:50 PM
11:33 PM,11:35 PM,11:36 PM,11:38 PM,11:39 PM,11:52 PM,11:56 PM,12:00 AM,12:05 AM
11:48 PM,11:50 PM,11:51 PM,11:53 PM,11:54 PM,12:07 AM,12:11 AM,12:15 AM,12:20 AM
