JSQ (Departure),Grove St (Departure),Newport (Departure),Hoboken (Departure),Chris St (Departure),9 St (Departure),14 St (Departure),23 St (Departure),33 St (Arrival)
12:10 AM,12:14 AM,12:18 AM,12:26 AM,12:35 AM,12:36 AM,12:38 AM,12:39 AM,12:42 AM
12:50 AM,12:54 AM,12:58 AM,1:06 AM,1:15 AM,1:16 AM,1:18 AM,1:19 AM,1:22 AM
1:30 AM,1:34 AM,1:38 AM,1:46 AM,1:55 AM,1:56 AM,1:58 AM,1:59 AM,2:02 AM
2:10 AM,2:14 AM,2:18 AM,2:26 AM,2:35 AM,2:36 AM,2:38 AM,2:39 AM,2:42 AM
2:50 AM,2:54 AM,2:58 AM,3:06 AM,3:15 AM,3:16 AM,3:18 AM,3:19 AM,3:22 AM
3:30 AM,3:34 AM,3:38 AM,3:46 AM,3:55 AM,3:56 AM,3:58 AM,3:59 AM,4:02 AM
4:10 AM,4:14 AM,4:18 AM,4:26 AM,4:35 AM,4:36 AM,4:38 AM,4:39 AM,4:42 AM
4:50 AM,4:54 AM,4:58 AM,5:06 AM,5:15 AM,5:16 AM,5:18 AM,5:19 AM,5:22 AM
5:15 AM,5:19 AM,5:23 AM,5:31 AM,5:40 AM,5:41 AM,5:43 AM,5:44 AM,5:47 AM
5:35 AM,5:39 AM,5:43 AM,5:51 AM,6:00 AM,6:01 AM,6:03 AM,6:04 AM,6:07 AM
10:40 PM,10:44 PM,10:48 PM,10:56 PM,11:05 PM,11:06 PM,11:08 PM,11:09 PM,11:12 PM
10:55 PM,10:59 PM,11:03 PM,11:11 PM,11:20 PM,11:21 PM,11:23 PM,11:24 PM,11:27 PM
11:10 PM,11:14 PM,11:18 PM,11:26 PM,11:35 PM,11:36 PM,11:38 PM,11:39 PM,11:42 PM
11:25 PM,11:29 PM,11:33 PM,11:41 PM,11:50 PM,11:51 PM,11:53 PM,11:54 PM,11:57 PM
11:40 PM,11:44 PM,11:48 PM,11:56 PM,12:05 AM,12:06 AM,12:08 AM,12:09 AM,12:12 AM
