WTC (Departure),Exchange (Departure),Grove St (Departure),JSQ (Departure),Harrison (Departure),Newark (Arrival)
12:30 AM,12:34 AM,12:37 AM,12:41 AM,12:52 AM,12:55 AM
1:10 AM,1:14 AM,1:17 AM,1:21 AM,1:32 AM,1:35 AM
1:50 AM,1:54 AM,1:57 AM,2:01 AM,2:12 AM,2:15 AM
2:30 AM,2:34 AM,2:37 AM,2:41 AM,2:52 AM,2:55 AM
3:10 AM,3:14 AM,3:17 AM,3:21 AM,3:32 AM,3:35 AM
3:50 AM,3:54 AM,3:57 AM,4:01 AM,4:12 AM,4:15 AM
4:30 AM,4:34 AM,4:37 AM,4:41 AM,4:52 AM,4:55 AM
5:05 AM,5:09 AM,5:12 AM,5:16 AM,5:27 AM,5:30 AM
5:30 AM,5:34 AM,5:37 AM,5:41 AM,5:52 AM,5:55 AM
5:45 AM,5:49 AM,5:52 AM,5:56 AM,6:07 AM,6:10 AM
6:00 AM,6:04 AM,6:07 AM,6:11 AM,6:22 AM,6:25 AM
6:14 AM,6:18 AM,6:21 AM,6:25 AM,6:36 AM,6:39 AM
6:24 AM,6:28 AM,6:31 AM,6:35 AM,6:46 AM,6:49 AM
6:34 AM,6:38 AM,6:41 AM,6:45 AM,6:56 AM,6:59 AM
6:44 AM,6:48 AM,6:51 AM,6:55 AM,7:06 AM,7:09 AM
6:54 AM,6:58 AM,7:01 AM,7:05 AM,7:16 AM,7:19 AM
7:04 AM,7:08 AM,7:11 AM,7:15 AM,7:26 AM,7:29 AM
7:14 AM,7:18 AM,7:21 AM,7:25 AM,7:36 AM,7:39 AM
7:24 AM,7:28 AM,7:31 AM,7:35 AM,7:46 AM,7:49 AM
7:34 AM,7:38 AM,7:41 AM,7:45 AM,7:56 AM,7:59 AM
7:44 AM,7:48 AM,7:51 AM,7:55 AM,8:06 AM,8:09 AM
7:54 AM,7:58 AM,8:01 AM,8:05 AM,8:16 AM,8:19 AM
8:04 AM,8:08 AM,8:11 AM,8:15 AM,8:26 AM,8:29 AM
8:14 AM,8:18 AM,8:21 AM,8:25 AM,8:36 AM,8:39 AM
8:24 AM,8:28 AM,8:31 AM,8:35 AM,8:46 AM,8:49 AM
8:34 AM,8:38 AM,8:41 AM,8:45 AM,8:56 AM,8:59 AM
8:44 AM,8:48 AM,8:51 AM,8:55 AM,9:06 AM,9:09 AM
8:54 AM,8:58 AM,9:01 AM,9:05 AM,9:16 AM,9:19 AM
9:04 AM,9:08 AM,9:11 AM,9:15 AM,9:26 AM,9:29 AM
9:14 AM,9:18 AM,9:21 AM,9:25 AM,9:36 AM,9:39 AM
9:24 AM,9:28 AM,9:31 AM,9:35 AM,9:46 AM,9:49 AM
9:34 AM,9:38 AM,9:41 AM,9:45 AM,9:56 AM,9:59 AM
9:44 AM,9:48 AM,9:51 AM,9:55 AM,10:06 AM,10:09 AM
9:54 AM,9:58 AM,10:01 AM,10:05 AM,10:16 AM,10:19 AM
10:04 AM,10:08 AM,10:11 AM,10:15 AM,10:26 AM,10:29 AM
10:20 AM,10:24 AM,10:27 AM,10:31 AM,10:42 AM,10:45 AM
10:40 AM,10:44 AM,10:47 AM,10:51 AM,11:02 AM,11:05 AM
11:00 AM,11:04 AM,11:07 AM,11:11 AM,11:22 AM,11:25 AM
11:20 AM,11:24 AM,11:27 AM,11:31 AM,11:42 AM,11:45 AM
11:40 AM,11:44 AM,11:47 AM,11:51 AM,12:02 PM,12:05 PM
12:00 PM,12:04 PM,12:07 PM,12:11 PM,12:22 PM,12:25 PM
12:20 PM,12:24 PM,12:27 PM,12:31 PM,12:42 PM,12:45 PM
12:40 PM,12:44 PM,12:47 PM,12:51 PM,1:02 PM,1:05 PM
1:00 PM,1:04 PM,1:07 PM,1:11 PM,1:22 PM,1:25 PM
1:20 PM,1:24 PM,1:27 PM,1:31 PM,1:42 PM,1:45 PM
1:40 PM,1:44 PM,1:47 PM,1:51 PM,2:02 PM,2:05 PM
2:00 PM,2:04 PM,2:07 PM,2:11 PM,2:22 PM,2:25 PM
2:20 PM,2:24 PM,2:27 PM,2:31 PM,2:42 PM,2:45 PM
2:40 PM,2:44 PM,2:47 PM,2:51 PM,3:02 PM,3:05 PM
3:00 PM,3:04 PM,3:07 PM,3:11 PM,3:22 PM,3:25 PM
3:20 PM,3:24 PM,3:27 PM,3:31 PM,3:42 PM,3:45 PM
3:34 PM,3:38 PM,3:41 PM,3:45 PM,3:56 PM,3:59 PM
3:44 PM,3:48 PM,3:51 PM,3:55 PM,4:06 PM,4:09 PM
3:54 PM,3:58 PM,4:01 PM,4:05 PM,4:16 PM,4:19 PM
4:04 PM,4:08 PM,4:11 PM,4:15 PM,4:26 PM,4:29 PM
4:14 PM,4:18 PM,4:21 PM,4:25 PM,4:36 PM,4:39 PM
4:24 PM,4:28 PM,4:31 PM,4:35 PM,4:46 PM,4:49 PM
4:34 PM,4:38 PM,4:41 PM,4:45 PM,4:56 PM,4:59 PM
4:44 PM,4:48 PM,4:51 PM,4:55 PM,5:06 PM,5:09 PM
4:54 PM,4:58 PM,5:01 PM,5:05 PM,5:16 PM,5:19 PM
5:04 PM,5:08 PM,5:11 PM,5:15 PM,5:26 PM,5:29 PM
5:14 PM,5:18 PM,5:21 PM,5:25 PM,5:36 PM,5:39 PM
5:24 PM,5:28 PM,5:31 PM,5:35 PM,5:46 PM,5:49 PM
5:34 PM,5:38 PM,5:41 PM,5:45 PM,5:56 PM,5:59 PM
5:44 PM,5:48 PM,5:51 PM,5:55 PM,6:06 PM,6:09 PM
5:54 PM,5:58 PM,6:01 PM,6:05 PM,6:16 PM,6:19 PM
6:04 PM,6:08 PM,6:11 PM,6:15 PM,6:26 PM,6:29 PM
