33 St (Departure),23 St (Departure),14 St (Departure),9 St (Departure),Chris St (Departure),Hoboken (Departure),Newport (Departure),Grove St (Departure),JSQ (Arrival)
12:18 AM,12:20 AM,12:21 AM,12:23 AM,12:24 AM,12:37 AM,12:41 AM,12:45 AM,12:50 AM
12:38 AM,12:40 AM,12:41 AM,12:43 AM,12:44 AM,12:57 AM,1:01 AM,1:05 AM,1:10 AM
12:58 AM,1:00 AM,1:01 AM,1:03 AM,1:04 AM,1:17 AM,1:21 AM,1:25 AM,1:30 AM
1:18 AM,1:20 AM,1:21 AM,1:23 AM,1:24 AM,1:37 AM,1:41 AM,1:45 AM,1:50 AM
1:38 AM,1:40 AM,1:41 AM,1:43 AM,1:44 AM,1:57 AM,2:01 AM,2:05 AM,2:10 AM
1:58 AM,2:00 AM,2:01 AM,2:03 AM,2:04 AM,2:17 AM,2:21 AM,2:25 AM,2:30 AM
2:18 AM,2:20 AM,2:21 AM,2:23 AM,2:24 AM,2:37 AM,2:41 AM,2:45 AM,2:50 AM
2:38 AM,2:40 AM,2:41 AM,2:43 AM,2:44 AM,2:57 AM,3:01 AM,3:05 AM,3:10 AM
3:18 AM,3:20 AM,3:21 AM,3:23 AM,3:24 AM,3:37 AM,3:41 AM,3:45 AM,3:50 AM
3:58 AM,4:00 AM,4:01 AM,4:03 AM,4:04 AM,4:17 AM,4:21 AM,4:25 AM,4:30 AM
4:38 AM,4:40 AM,4:41 AM,4:43 AM,4:44 AM,4:57 AM,5:01 AM,5:05 AM,5:10 AM
5:18 AM,5:20 AM,5:21 AM,5:23 AM,5:24 AM,5:37 AM,5:41 AM,5:45 AM,5:50 AM
5:58 AM,6:00 AM,6:01 AM,6:03 AM,6:04 AM,6:17 AM,6:21 AM,6:25 AM,6:30 AM
6:38 AM,6:40 AM,6:41 AM,6:43 AM,6:44 AM,6:57 AM,7:01 AM,7:05 AM,7:10 AM
7:18 AM,7:20 AM,7:21 AM,7:23 AM,7:24 AM,7:37 AM,7:41 AM,7:45 AM,7:50 AM
7:58 AM,8:00 AM,8:01 AM,8:03 AM,8:04 AM,8:17 AM,8:21 AM,8:25 AM,8:30 AM
8:38 AM,8:40 AM,8:41 AM,8:43 AM,8:44 AM,8:57 AM,9:01 AM,9:05 AM,9:10 AM
9:18 AM,9:20 AM,9:21 AM,9:23 AM,9:24 AM,9:37 AM,9:41 AM,9:45 AM,9:50 AM
9:58 AM,10:00 AM,10:01 AM,10:03 AM,10:04 AM,10:17 AM,10:21 AM,10:25 AM,10:30 AM
10:18 AM,10:20 AM,10:21 AM,10:23 AM,10:24 AM,10:37 AM,10:41 AM,10:45 AM,10:50 AM
10:38 AM,10:40 AM,10:41 AM,10:43 AM,10:44 AM,10:57 AM,11:01 AM,11:05 AM,11:10 AM
10:58 AM,11:00 AM,11:01 AM,11:03 AM,11:04 AM,11:17 AM,11:21 AM,11:25 AM,11:30 AM
11:14 AM,11:16 AM,11:17 AM,11:19 AM,11:20 AM,11:33 AM,11:37 AM,11:41 AM,11:46 AM
11:26 AM,11:28 AM,11:29 AM,11:31 AM,11:32 AM,11:45 AM,11:49 AM,11:53 AM,11:58 AM
11:38 AM,11:40 AM,11:41 AM,11:43 AM,11:44 AM,11:57 AM,12:01 PM,12:05 PM,12:10 PM
11:50 AM,11:52 AM,11:53 AM,11:55 AM,11:56 AM,12:09 PM,12:13 PM,12:17 PM,12:22 PM
12:02 PM,12:04 PM,12:05 PM,12:07 PM,12:08 PM,12:21 PM,12:25 PM,12:29 PM,12:34 PM
12:14 PM,12:16 PM,12:17 PM,12:19 PM,12:20 PM,12:33 PM,12:37 PM,12:41 PM,12:46 PM
12:26 PM,12:28 PM,12:29 PM,12:31 PM,12:32 PM,12:45 PM,12:49 PM,12:53 PM,12:58 PM
12:38 PM,12:40 PM,12:41 PM,12:43 PM,12:44 PM,12:57 PM,1:01 PM,1:05 PM,1:10 PM
12:50 PM,12:52 PM,12:53 PM,12:55 PM,12:56 PM,1:09 PM,1:13 PM,1:17 PM,1:22 PM
1:02 PM,1:04 PM,1:05 PM,1:07 PM,1:08 PM,1:21 PM,1:25 PM,1:29 PM,1:34 PM
1:14 PM,1:16 PM,1:17 PM,1:19 PM,1:20 PM,1:33 PM,1:37 PM,1:41 PM,1:46 PM
1:26 PM,1:28 PM,1:29 PM,1:31 PM,1:32 PM,1:45 PM,1:49 PM,1:53 PM,1:58 PM
1:38 PM,1:40 PM,1:41 PM,1:43 PM,1:44 PM,1:57 PM,2:01 PM,2:05 PM,2:10 PM
1:50 PM,1:52 PM,1:53 PM,1:55 PM,1:56 PM,2:09 PM,2:13 PM,2:17 PM,2:22 PM
