Newark (Departure),Harrison (Departure),JSQ (Departure),Grove St (Departure),Exchange (Departure),WTC (Arrival)
12:30 AM,12:32 AM,12:43 AM,12:47 AM,12:50 AM,12:55 AM
1:10 AM,1:12 AM,1:23 AM,1:27 AM,1:30 AM,1:35 AM
1:50 AM,1:52 AM,2:03 AM,2:07 AM,2:10 AM,2:15 AM
2:30 AM,2:32 AM,2:43 AM,2:47 AM,2:50 AM,2:55 AM
3:10 AM,3:12 AM,3:23 AM,3:27 AM,3:30 AM,3:35 AM
3:50 AM,3:52 AM,4:03 AM,4:07 AM,4:10 AM,4:15 AM
4:30 AM,4:32 AM,4:43 AM,4:47 AM,4:50 AM,4:55 AM
5:10 AM,5:12 AM,5:23 AM,5:27 AM,5:30 AM,5:35 AM
5:50 AM,5:52 AM,6:03 AM,6:07 AM,6:10 AM,6:15 AM
6:25 AM,6:27 AM,6:38 AM,6:42 AM,6:45 AM,6:50 AM
6:55 AM,6:57 AM,7:08 AM,7:12 AM,7:15 AM,7:20 AM
7:15 AM,7:17 AM,7:28 AM,7:32 AM,7:35 AM,7:40 AM
7:35 AM,7:37 AM,7:48 AM,7:52 AM,7:55 AM,8:00 AM
7:55 AM,7:57 AM,8:08 AM,8:12 AM,8:15 AM,8:20 AM
8:15 AM,8:17 AM,8:28 AM,8:32 AM,8:35 AM,8:40 AM
8:35 AM,8:37 AM,8:48 AM,8:52 AM,8:55 AM,9:00 AM
8:55 AM,8:57 AM,9:08 AM,9:12 AM,9:15 AM,9:20 AM
9:15 AM,9:17 AM,9:28 AM,9:32 AM,9:35 AM,9:40 AM
9:35 AM,9:37 AM,9:48 AM,9:52 AM,9:55 AM,10:00 AM
9:55 AM,9:57 AM,10:08 AM,10:12 AM,10:15 AM,10:20 AM
10:15 AM,10:17 AM,10:28 AM,10:32 AM,10:35 AM,10:40 AM
10:35 AM,10:37 AM,10:48 AM,10:52 AM,10:55 AM,11:00 AM
10:55 AM,10:57 AM,11:08 AM,11:12 AM,11:15 AM,11:20 AM
11:15 AM,11:17 AM,11:28 AM,11:32 AM,11:35 AM,11:40 AM
11:35 AM,11:37 AM,11:48 AM,11:52 AM,11:55 AM,12:00 PM
11:55 AM,11:57 AM,12:08 PM,12:12 PM,12:15 PM,12:20 PM
12:15 PM,12:17 PM,12:28 PM,12:32 PM,12:35 PM,12:40 PM
12:35 PM,12:37 PM,12:48 PM,12:52 PM,12:55 PM,1:00 PM
12:55 PM,12:57 PM,1:08 PM,1:12 PM,1:15 PM,1:20 PM
1:15 PM,1:17 PM,1:28 PM,1:32 PM,1:35 PM,1:40 PM
1:35 PM,1:37 PM,1:48 PM,1:52 PM,1:55 PM,2:00 PM
1:55 PM,1:57 PM,2:08 PM,2:12 PM,2:15 PM,2:20 PM
2:15 PM,2:17 PM,2:28 PM,2:32 PM,2:35 PM,2:40 PM
2:35 PM,2:37 PM,2:48 PM,2:52 PM,2:55 PM,3:00 PM
2:55 PM,2:57 PM,3:08 PM,3:12 PM,3:15 PM,3:20 PM
3:15 PM,3:17 PM,3:28 PM,3:32 PM,3:35 PM,3:40 PM
3:35 PM,3:37 PM,3:48 PM,3:52 PM,3:55 PM,4:00 PM
3:55 PM,3:57 PM,4:08 PM,4:12 PM,4:15 PM,4:20 PM
4:15 PM,4:17 PM,4:28 PM,4:32 PM,4:35 PM,4:40 PM
4:35 PM,4:37 PM,4:48 PM,4:52 PM,4:55 PM,5:00 PM
4:55 PM,4:57 PM,5:08 PM,5:12 PM,5:15 PM,5:20 PM
5:15 PM,5:17 PM,5:28 PM,5:32 PM,5:35 PM,5:40 PM
5:35 PM,5:37 PM,5:48 PM,5:52 PM,5:55 PM,6:00 PM
5:55 PM,5:57 PM,6:08 PM,6:12 PM,6:15 PM,6:20 PM
6:15 PM,6:17 PM,6:28 PM,6:32 PM,6:35 PM,6:40 PM
6:35 PM,6:37 PM,6:48 PM,6:52 PM,6:55 PM,7:00 PM
6:55 PM,6:57 PM,7:08 PM,7:12 PM,7:15 PM,7:20 PM
7:15 PM,7:17 PM,7:28 PM,7:32 PM,7:35 PM,7:40 PM
7:35 PM,7:37 PM,7:48 PM,7:52 PM,7:55 PM,8:00 PM
7:55 PM,7:57 PM,8:08 PM,8:12 PM,8:15 PM,8:20 PM
8:15 PM,8:17 PM,8:28 PM,8:32 PM,8:35 PM,8:40 PM
8:35 PM,8:37 PM,8:48 PM,8:52 PM,8:55 PM,9:00 PM
8:55 PM,8:57 PM,9:08 PM,9:12 PM,9:15 PM,9:20 PM
9:15 PM,9:17 PM,9:28 PM,9:32 PM,9:35 PM,9:40 PM
9:35 PM,9:37 PM,9:48 PM,9:52 PM,9:55 PM,10:00 PM
9:55 PM,9:57 PM,10:08 PM,10:12 PM,10:15 PM,10:20 PM
10:15 PM,10:17 PM,10:28 PM,10:32 PM,10:35 PM,10:40 PM
10:35 PM,10:37 PM,10:48 PM,10:52 PM,10:55 PM,11:00 PM
10:55 PM,10:57 PM,11:08 PM,11:12 PM,11:15 PM,11:20 PM
11:20 PM,11:22 PM,11:33 PM,11:37 PM,11:40 PM,11:45 PM
11:55 PM,11:57 PM,12:08 AM,12:12 AM,12:15 AM,12:20 AM
